
2024-09-30 20:38:16.460020 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-09-30 20:38:16.460020 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-09-30 20:38:16.472020 - skodaracing24 (556943853): Устал - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.213377 - GroupAnonymousBot (1087968824): None - Type: Video-Voice  |  ChatID: -1002124483077


2024-09-30 20:38:25.214167 - GroupAnonymousBot (1087968824): None - Type: Video-Voice  |  ChatID: -1002124483077


2024-09-30 20:38:25.214355 - GroupAnonymousBot (1087968824): None - Type: Video-Voice  |  ChatID: -1002124483077


2024-09-30 20:38:25.218579 - wxschik (7257991755): None - Type: Voice Message  |  ChatID: -1002124483077


2024-09-30 20:38:25.218579 - wxschik (7257991755): None - Type: Voice Message  |  ChatID: -1002124483077


2024-09-30 20:38:25.220092 - wxschik (7257991755): None - Type: Voice Message  |  ChatID: -1002124483077


2024-09-30 20:38:25.220360 - wxschik (7257991755): None - Type: Voice Message  |  ChatID: -1002124483077


2024-09-30 20:38:25.221374 - wxschik (7257991755): None - Type: Voice Message  |  ChatID: -1002124483077


2024-09-30 20:38:25.221583 - wxschik (7257991755): None - Type: Voice Message  |  ChatID: -1002124483077


2024-09-30 20:38:25.268690 - GroupAnonymousBot (1087968824): None - Type: Photo  |  ChatID: -1002124483077


2024-09-30 20:38:25.268690 - GroupAnonymousBot (1087968824): None - Type: Photo  |  ChatID: -1002124483077


2024-09-30 20:38:25.271517 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-09-30 20:38:25.271882 - skodaracing24 (556943853): None - Type: Photo  |  ChatID: -1002124483077


2024-09-30 20:38:25.290474 - wxschik (7257991755): Сергей что с какой то бабой лежит - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.290971 - GroupAnonymousBot (1087968824): ну да - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.291611 - wxschik (7257991755): Где - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.292152 - wxschik (7257991755): Показывайте какие - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.292152 - wxschik (7257991755): Если какие то стремные - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.293007 - wxschik (7257991755): То нахуй - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.293586 - GroupAnonymousBot (1087968824): вот такие - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.293854 - wxschik (7257991755): А если малышки альтушечные - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.294924 - GroupAnonymousBot (1087968824): ебать ты вспомнил - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.295541 - GroupAnonymousBot (1087968824): алина не альтушка уже - Type: Text  |  ChatID: -1002124483077


2024-09-30 20:38:25.295902 - wxschik (7257991755): Ну я за ней не слежу - Type: Text  |  ChatID: -1002124483077


