
2024-10-10 05:49:58.834135 - verdise (6751720805): g - Type: Text  |  ChatID: 6751720805


2024-10-10 05:54:38.978841 - verdise (6751720805): а - Type: Text  |  ChatID: 6751720805


2024-10-10 06:04:26.462774 - verdise (6751720805): g - Type: Text  |  ChatID: 6751720805


2024-10-10 06:04:31.006943 - verdise (6751720805): g - Type: Text  |  ChatID: 6751720805


2024-10-10 06:05:51.202641 - verdise (6751720805): п - Type: Text  |  ChatID: 6751720805


2024-10-10 06:05:53.462806 - verdise (6751720805): п - Type: Text  |  ChatID: 6751720805


2024-10-10 06:05:55.178689 - verdise (6751720805): п - Type: Text  |  ChatID: 6751720805


2024-10-10 06:06:16.562672 - verdise (6751720805): g - Type: Text  |  ChatID: 6751720805


2024-10-10 06:10:29.300411 - verdise (6751720805): .start - Type: Command  |  ChatID: 6751720805


2024-10-10 06:12:53.416916 - verdise (6751720805): пп - Type: Text  |  ChatID: 6751720805


2024-10-10 06:44:04.978504 - verdise (6751720805): g - Type: Text  |  ChatID: 6751720805


2024-10-10 06:44:13.461925 - verdise (6751720805): g - Type: Text  |  ChatID: 6751720805


2024-10-10 06:51:48.787524 - verdise (6751720805): f - Type: Text  |  ChatID: 6751720805


2024-10-10 06:52:02.780262 - verdise (6751720805): f - Type: Text  |  ChatID: 6751720805


2024-10-10 06:52:03.758713 - verdise (6751720805): f - Type: Text  |  ChatID: 6751720805


2024-10-10 06:52:04.508515 - verdise (6751720805): s - Type: Text  |  ChatID: 6751720805


2024-10-10 06:52:05.164899 - verdise (6751720805): f - Type: Text  |  ChatID: 6751720805


2024-10-10 06:52:05.697377 - verdise (6751720805): f - Type: Text  |  ChatID: 6751720805


2024-10-10 06:52:06.131122 - verdise (6751720805): f - Type: Text  |  ChatID: 6751720805


2024-10-10 06:52:06.454216 - verdise (6751720805): f - Type: Text  |  ChatID: 6751720805


2024-10-10 06:52:06.889968 - verdise (6751720805): f - Type: Text  |  ChatID: 6751720805


2024-10-10 06:52:07.847458 - verdise (6751720805): f - Type: Text  |  ChatID: 6751720805


2024-10-10 06:52:10.643667 - verdise (6751720805): .start - Type: Command  |  ChatID: 6751720805


2024-10-10 07:05:36.454530 - verdise (6751720805): dgfsgsdaf - Type: Text  |  ChatID: 6751720805


2024-10-10 07:05:36.924982 - verdise (6751720805): gsdfg - Type: Text  |  ChatID: 6751720805


2024-10-10 07:05:37.432839 - verdise (6751720805): gsd - Type: Text  |  ChatID: 6751720805


2024-10-10 07:05:37.750925 - verdise (6751720805): gs - Type: Text  |  ChatID: 6751720805


2024-10-10 07:05:38.114948 - verdise (6751720805): gsd - Type: Text  |  ChatID: 6751720805


2024-10-10 07:05:38.447397 - verdise (6751720805): gs - Type: Text  |  ChatID: 6751720805


2024-10-10 07:05:39.394649 - verdise (6751720805): gsdgadgkjadf - Type: Text  |  ChatID: 6751720805


2024-10-10 07:05:40.147254 - verdise (6751720805): gasfkgjlaskg - Type: Text  |  ChatID: 6751720805


