
2024-10-10 18:31:51.874822 - verdise (6751720805): тц - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:31:53.803608 - verdise (6751720805): ириска - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:32:39.129780 - verdise (6751720805): ладно - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:32:49.095222 - verdise (6751720805): разбан @exetreon - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:33:19.199423 - exetreon (7051557370): None - Type: ERROR! UNKNOWN TYPE!  |  ChatID: -1002123850090


2024-10-10 18:37:09.779753 - verdise (6751720805): /ban 7051557370 - Type: Command  |  ChatID: -1002123850090


2024-10-10 18:38:23.504215 - exetreon (7051557370): /ban 7051557370 - Type: Command  |  ChatID: -1002123850090


2024-10-10 18:38:36.146489 - PrimoTesterBot (7193685715): None - Type: ERROR! UNKNOWN TYPE!  |  ChatID: -1002123850090


2024-10-10 18:38:47.584880 - verdise (6751720805): None - Type: GIF  |  ChatID: -1002123850090


2024-10-10 18:38:58.122903 - verdise (6751720805): Ну не баг а фича
теперь у нас есть команда выход - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:46:45.686839 - tatoshka_myauu (1124140293): спасибо - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:46:56.661484 - verdise (6751720805): None - Type: GIF  |  ChatID: -1002123850090


2024-10-10 18:46:58.155942 - verdise (6751720805): Не беспокойся - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:47:03.836794 - verdise (6751720805): Практические тесты - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:47:13.040948 - verdise (6751720805): боту нужно же учиться банить злых букашек - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:47:20.781695 - tatoshka_myauu (1124140293): слава богу - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:47:28.017769 - verdise (6751720805): а ты кстати кто - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:47:45.384106 - tatoshka_myauu (1124140293): в смысле - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:47:56.490817 - verdise (6751720805): ну ты кто - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:48:10.639239 - tatoshka_myauu (1124140293): ну вы меня еще летом сюда добавили... - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:48:16.833725 - tatoshka_myauu (1124140293): когда я был влд флуда - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:49:29.008636 - verdise (6751720805): расскажи поподробнее - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:52:42.486996 - verdise (6751720805): /ban1 @tatoshka_myauu - Type: Command  |  ChatID: -1002123850090


2024-10-10 18:52:46.548405 - verdise (6751720805): None - Type: GIF  |  ChatID: -1002123850090


2024-10-10 18:52:51.954513 - verdise (6751720805): Молодец, ошибки нет - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:52:55.403843 - verdise (6751720805): почему не заблокировал? - Type: Text  |  ChatID: -1002123850090


2024-10-10 18:53:19.262881 - verdise (6751720805): None - Type: GIF  |  ChatID: -1002123850090


