
2024-10-10 07:23:05.116812 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-10 07:23:05.120073 - verdise (6751720805): None - Type: Photo  |  ChatID: -1002124483077


2024-10-10 07:23:11.558439 - verdise (6751720805): Захуярил не по детскт - Type: Text  |  ChatID: -1002124483077


2024-10-10 13:21:18.033997 - skodaracing24 (556943853): Мужики - Type: Text  |  ChatID: -1002124483077


2024-10-10 13:21:18.034996 - skodaracing24 (556943853): Я в субботу не учусь - Type: Text  |  ChatID: -1002124483077


2024-10-10 13:21:18.035884 - skodaracing24 (556943853): Все бухаем завтра - Type: Text  |  ChatID: -1002124483077


2024-10-10 13:21:18.037273 - skodaracing24 (556943853): Кубок первокурсника с пар снять должны - Type: Text  |  ChatID: -1002124483077


2024-10-10 14:22:29.948756 - verdise (6751720805): Ehf - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.308381 - verdise (6751720805): None - Type: GIF  |  ChatID: -1002124483077


2024-10-10 15:22:32.376644 - skodaracing24 (556943853): @verdise даня кабан максимка приедет в пятницу в 01:00 как вам Идея встретить его и к Сергею - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.378299 - skodaracing24 (556943853): Да там есть такой - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.379392 - skodaracing24 (556943853): Королла белая у него - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.381541 - skodaracing24 (556943853): У886УМ124 - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.384928 - skodaracing24 (556943853): Ахахахахахаа - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.385514 - skodaracing24 (556943853): Серега у тебя пары завтра есть ? - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.386614 - skodaracing24 (556943853): С утра ? - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.388108 - GroupAnonymousBot (1087968824): в падлу чет - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.389223 - wxschik (7257991755): Ну и пошел нахуй - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.389643 - wxschik (7257991755): Дружок - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.390965 - skodaracing24 (556943853): О как ебать - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.392198 - wxschik (7257991755): Мы не виделись 3 месяца - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.393606 - wxschik (7257991755): В падлу - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.395578 - skodaracing24 (556943853): Сергею на пары как я понимаю - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.396612 - skodaracing24 (556943853): Я про завтра - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.397774 - wxschik (7257991755): Завтра тоже по тому же плану что и сегодня - Type: Text  |  ChatID: -1002124483077


2024-10-10 15:22:32.397945 - skodaracing24 (556943853): Максимка пока завтра Сергей будет на парах мы куда нибудь ебанем давай - Type: Text  |  ChatID: -1002124483077


